id,name,area,address,postcode,lon,lat,phone,capacity,women,usage,multi,theme,management,website,email,phone_enhanced,facebook,instagram,youtube,twitter,linkedin,contact_page,MuslimsInBritainData
2041,Salford Islamic Community Centre,Salford,178 Langworthy Rd,M6 5PP,-2.294545,53.4868081,+44 7547 407461,Unavailable,not available,not available,False,not available,not available,https://www.salfordislamiccommunitycentre.com/,feddegooga@gmail.com,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://www.salfordislamiccommunitycentre.com/contact-8,False
2042,Musalla Salaam (Clayton Musalla),Bradford,"Unit 8, 189 Pasture Ln",BD7 2SQ,-1.8035596,53.7832332,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2043,Muslim Mosque,Coventry,3 Blackwell Rd,CV6 5JS,-1.4984121,52.430178,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2044,Ardwick Mosque,Manchester,32-34 Wilson St,M13 9EX,-2.2225183,53.4667007,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2045,Belfast Masjid & Iqraa School,Belfast,18 Ashley Park,BT17 9EH,-6.0074129,54.550681,07886 102927,Unavailable,not available,not available,False,not available,not available,https://www.belfastiqraaschool.com/,info@belfastiqraaschool.com,not available,https://www.facebook.com/IqraaMasjidandSchool/,Unavailable,https://www.youtube.com/channel/UCRJZodmoO1hYojgzSb3xIzQ,Unavailable,Unavailable,https://www.belfastiqraaschool.com/contact/,False
2046,Muslim Prayer Room,London,116B Bow Rd,E3 3AA,-0.019133,51.528062,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2047,Seahaven Islamic Community Centre,Seaford,One Little Pl Ln,BN25 1LB,0.1014331,50.7724313,+44 7761 708746,Unavailable,not available,not available,False,not available,not available,https://seahavenislamiccommunity.org.uk/,info@seahavenislamiccommunity.org.uk,not available,https://www.facebook.com/seahavenislamiccommunity/,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2048,Springbank Mosque,Hull,83 Spring Bank,HU3 1AG,-0.3514715,53.7492405,+44 7727 005727,Unavailable,not available,not available,False,not available,not available,Unavailable,springbank.mosque@gmail.com,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2049,Newcastle Masjid Jamia,Newcastle upon Tyne,26 Whickham View,Unavailable,-1.6826402,54.9749241,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2050,Jummah Salah (UKIM) in Bushmead Community Hub,Luton,Hancock Dr,LU2 7SF,-0.4122057999999999,51.9087313,+44 7974 734147,Unavailable,not available,J,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2051,Jummah Salah in Spiritual Care Centre,Chester,Parsons Ln,Unavailable,-2.8976064,53.209059,+44 1244 364543,Unavailable,not available,J,False,not available,not available,https://www.coch.nhs.uk/media/133209/chaplaincy-times-of-worship.pdf,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2052,Northfields Youth Centre (ISLAH TRUST),Leicester,Brighton Rd,LE5 0HA,-1.1000652,52.64677,07979 153661,Unavailable,not available,not available,False,not available,not available,https://www.facebook.com/ISLAH-TRUST-667921773311320/,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2054,Shahparan Chadderton Central Mosque,Oldham,209-211 Garforth St,OL9 6RP,-2.133247,53.5501392,Unavailable,Unavailable,not available,not available,False,not available,not available,https://www.chaddertonshahporan.co.uk/about-us,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2056,Al Muwatta Institute,Bradford,Tickhill St,Unavailable,-1.7350081,53.7918826,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2058,Wythenshawe Masjid,Manchester,7 Moor End,M22 4JQ,-2.2614006,53.4060129,+44 161 850 7898,Unavailable,not available,not available,False,not available,not available,https://wythenshawemasjid.org/,office@wythenshawemasjid.org,not available,https://www.facebook.com/wythenshawemasjid,https://www.instagram.com/wythenshawemasjid/,Unavailable,https://twitter.com/WythMuslimAssoc,Unavailable,https://wythenshawemasjid.org/contact-us/,False
2059,"Jummah Salah in Sanctuary (Level 1, Gate 30, Brunel building)",Bristol,Brunel Building,Unavailable,-2.5910559,51.4946801,+44 117 414 3700,Unavailable,not available,J,False,not available,not available,https://www.nbt.nhs.uk/patients-carers/coming-hospital/spiritual-pastoral-care,the.chaplaincy@nbt.nhs.uk,not available,http://www.facebook.com/NorthBristolNHSTrust,https://www.instagram.com/north_bristol_nhs,http://www.youtube.com/user/NorthBristolNHSTrust,http://www.twitter.com/NorthBristolNHS,https://www.linkedin.com/company/north-bristol-nhs-trust,https://nbt.nhs.uk/about-us/contact-us,False
2060,Friday Prayer (Jummah Salah),Leeds,Civic G,LS1 3BR,-1.5496292,53.8016848,Unavailable,Unavailable,not available,J,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2061,Masjid e Taqwa,Blackburn,216 Pleckgate Rd,BB1 8QW,-2.4860932,53.769543,Unavailable,Unavailable,not available,not available,False,not available,not available,https://masjidetaqwa.mixlr.com/,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
